data_pca1,data_pca2,data_pca3,data_pca4,data_pca5,data_pca6,data_pca7,data_pca8,data_pca9,data_pca10,data_pca11,data_pca12,data_pca13,data_pca14,data_pca15,data_pca16,data_pca17,data_pca18
-0.0456040958166802,-0.211585099095889,-0.221662918234227,0.0502259660321224,0.159853780400152,0.0243783274873839,-0.0252753602472276,-0.0046288637533749,0.0224197354535786,0.156562997100723,-0.0439338047367524,0.144880916566073,-0.0660792053054081,-0.0423140692339461,0.0095259320803828,-0.0125713241681276,-0.0209199905031096,2
-0.0329046453055365,-0.414986782064534,0.0474852631066184,0.134264028490161,0.443979659181416,-0.0269279762234432,0.02863216334517,0.174923457734206,0.0881418114662558,-0.0254222749896223,0.00921977478802685,-0.00345807088046463,-0.0303188489916436,-0.00380517754593533,-0.00554427899430562,0.0272501111632261,-0.0373166172796182,2
0.0638333695368879,0.190986745659778,-0.162412809610021,0.320023368534326,-0.12171514782531,-0.0601820532892486,0.278809497839936,0.0346184102160452,-0.0101680161741086,0.111707746307735,-0.0717543242183476,0.0861516178923024,-0.085817186776529,-0.018821051258708,0.0116048232196066,-0.0557998699825466,0.0404385639414308,2
-0.0110800096060508,-0.231463836500642,-0.00770013878767321,-0.0304313521219908,0.293509672983188,-0.0263401189700675,0.0519003391705371,0.13891246898229,0.00824544820775805,-0.0834782994953531,0.094210926555726,0.00603349356749149,-0.0924625737407261,-0.0178636660981477,0.00101946647060905,-0.0276548925604283,-0.00222494225497487,2
0.121521152914402,-0.081795927874441,0.0283398242269663,0.00434978817682747,-0.130852957301886,-0.022506570340686,-0.0759656810819061,-0.230904427280988,0.258731056161144,0.291775380250285,0.115371811294656,0.28136215625184,-0.0378967808982223,-0.114582649685282,-0.0110585798998642,-0.0997043690510398,-0.0157681872247438,2
-0.325438098100438,0.302639357975302,-0.195354148359062,0.434572149729211,-0.00299969665026907,-0.121719569809616,0.197847629917146,-0.0390677208583173,-0.0246854273931393,-0.0449726516242699,-0.0569391797056037,-0.0748798799344619,0.0109845669124195,0.0720433715284126,-0.0373759177850281,0.0234123586306755,-0.017610683034271,2
0.449436415689271,-0.0396367924692829,0.376863247602023,0.0667446583850737,-0.177479041478384,0.830601636245158,0.0273688118886269,0.0632030111169588,-0.0162746878931505,0.150872925051659,0.155023155348148,-0.0841057647579819,-0.018350391517195,0.187171205466028,-0.0373792731493781,0.00947900514673159,0.00849823426617802,2
-0.215656508480664,-0.0612761237841234,-0.358778465230398,0.0541741435347162,-0.157053005409247,-0.118657876126384,-0.219305342534856,0.0221846487298509,0.402224336683269,-0.080860360282715,0.11529902947484,0.00133943915868225,0.127521744536188,0.338973052543513,0.829030522295671,-0.0483741425657931,0.00538585397523051,2
0.185236562399241,-0.0898115150422964,-0.0344701333174084,0.0212310831367696,0.164296847879961,-0.0316258487274756,0.0616473966776548,-0.11987084520841,-0.0202977176128738,-0.0696597174961242,0.00920335707203411,-0.167437225788722,0.114621531346324,-0.02596945823555,0.00283106649252027,0.0063477698211115,0.00158622404398786,2
-0.192683810685839,0.505215085495959,-0.22298953774067,-0.619283774901796,-0.145611536786073,-0.388215819043842,-0.481555911931718,0.455466875892201,-0.0263869379029625,0.360224352393409,-0.211452998368269,0.0274133474813794,0.145873195578377,0.135816779056766,-0.0902965172882933,0.00971065234823473,-0.0710036440179082,2
