,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,total_degree,total_degree,total_degree,total_degree,total_degree,total_degree,total_degree,total_degree,assortativity,assortativity,assortativity,assortativity,assortativity,assortativity,assortativity,assortativity,global_clustering_coefficient,global_clustering_coefficient,global_clustering_coefficient,global_clustering_coefficient,global_clustering_coefficient,global_clustering_coefficient,global_clustering_coefficient,global_clustering_coefficient,density,density,density,density,density,density,density,density,largest_eigenvalue,largest_eigenvalue,largest_eigenvalue,largest_eigenvalue,largest_eigenvalue,largest_eigenvalue,largest_eigenvalue,largest_eigenvalue,num_connected_components,num_connected_components,num_connected_components,num_connected_components,num_connected_components,num_connected_components,num_connected_components,num_connected_components,entropy,entropy,entropy,entropy,entropy,entropy,entropy,entropy,second_largest_eigenvalue,second_largest_eigenvalue,second_largest_eigenvalue,second_largest_eigenvalue,second_largest_eigenvalue,second_largest_eigenvalue,second_largest_eigenvalue,second_largest_eigenvalue,smallest_eigenvalue,smallest_eigenvalue,smallest_eigenvalue,smallest_eigenvalue,smallest_eigenvalue,smallest_eigenvalue,smallest_eigenvalue,smallest_eigenvalue,second_smallest_eigenvalue,second_smallest_eigenvalue,second_smallest_eigenvalue,second_smallest_eigenvalue,second_smallest_eigenvalue,second_smallest_eigenvalue,second_smallest_eigenvalue,second_smallest_eigenvalue,num_cycles,num_cycles,num_cycles,num_cycles,num_cycles,num_cycles,num_cycles,num_cycles
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
I,53.0,2.083315364297274,0.12569935672923196,1.5,2.0,2.111111111111111,2.1538461538461537,2.3333333333333335,53.0,33.9622641509434,10.5209722133222,6.0,26.0,36.0,42.0,64.0,53.0,-0.38172285630155306,0.2068629591492974,-1.0,-0.5073891625615764,-0.38888888888888856,-0.25954198473282286,0.10052910052910051,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.15372427923716184,0.06416972235347271,0.07881773399014778,0.12105263157894737,0.1323529411764706,0.1794871794871795,0.5,53.0,5.107052840135684,0.33337756224589654,3.9999999999999987,4.873211140659204,5.0724582388753765,5.330656158436711,5.786197734092564,53.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,53.0,1.0491181468896724,0.1368689586932199,0.5623351444188083,1.0100997590541634,1.0601189356398382,1.0917862377951273,1.2798542254336676,53.0,4.485819799631401,0.5801984328741172,1.0,4.365881247035944,4.546660901325603,4.78658215561006,5.2531509056612515,53.0,-3.383573503317484e-17,5.975840096549115e-16,-1.601901849155901e-15,-4.572663792055425e-16,-1.2064960989133463e-16,4.0142060498676436e-16,1.419831537049481e-15,53.0,0.14950246707715556,0.1490497258803094,0.02449006050748521,0.06672903921531659,0.0948752995014876,0.19840848956042928,0.9999999999999991,53.0,1.830188679245283,0.9351233784620611,0.0,1.0,2.0,2.0,4.0
II,26.0,2.156332715647977,0.10766230872241042,2.0,2.085227272727273,2.1483516483516483,2.241071428571429,2.3636363636363638,26.0,50.0,12.15894732285653,22.0,44.5,50.0,55.5,80.0,26.0,-0.28498779278460423,0.25804039112892896,-0.7368421052631625,-0.5163212539894151,-0.25566198555077485,-0.09889643463497642,0.1666666666666659,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.10350998536410445,0.027701049157101556,0.058823529411764705,0.08666666666666667,0.09919066440805571,0.1162907268170426,0.2,26.0,5.322566596805647,0.29914490368322855,4.658427384688727,5.138577415761171,5.350928107466972,5.581984508495875,5.855581694003971,26.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0641798101863178,0.19754409951401927,0.5195798389305154,0.9659269924712042,1.0920146475148869,1.214423777796212,1.286057336474379,26.0,4.890128350378747,0.3104497500350309,4.244586490048279,4.72263206261969,4.861083228273925,5.044790521830702,5.611086805046461,26.0,-2.188787755904306e-16,5.898005626187758e-16,-1.421355346911239e-15,-6.091424478177026e-16,-2.9019948969508027e-17,1.5232182933175503e-16,7.597828501912761e-16,26.0,0.06446809519457954,0.03845222687012099,0.018407840944961704,0.04061356938737316,0.05084981962952472,0.07685911911386527,0.16380075802473726,26.0,2.8461538461538463,1.2551432648843777,1.0,2.0,3.0,4.0,5.0
III,50.0,2.1333743158975342,0.07480125843622652,2.0,2.0869565217391304,2.1291666666666664,2.197619047619048,2.2758620689655173,50.0,54.4,16.49737146657377,28.0,42.5,52.0,61.5,110.0,50.0,-0.3791623786742896,0.2139421641930595,-0.7869415807560152,-0.544047619047616,-0.3701769245247492,-0.24210701229644038,0.31498470948012436,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.09400427597939745,0.024229025416025632,0.04326530612244898,0.07758620689655173,0.09,0.10526315789473684,0.15384615384615385,50.0,5.28896098164975,0.29850777798304695,4.599217841985333,5.082151601585104,5.26440512574175,5.429026541935688,5.972872587257239,50.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0976697051896267,0.13087560527374278,0.8033149758408755,1.0108999505752339,1.0802567837239148,1.1979908794326604,1.3229580703597634,50.0,4.945060199314229,0.31763975461748034,4.444809283212662,4.744418531555887,4.885821011307413,5.06767093430283,5.637635507987028,50.0,-1.4257974347675427e-17,6.827851322456453e-16,-1.4896452718999974e-15,-5.640846702525193e-16,1.0640270160877825e-16,3.8380757867064736e-16,1.2438620505399371e-15,50.0,0.05460755871489862,0.030396791142830986,0.00971458379358415,0.031002065537268794,0.05199254826669361,0.07192852242219427,0.12892207759641588,50.0,2.8,1.2616801237611213,1.0,2.0,3.0,3.0,7.0
